Date,Open,High,Low,Close,Adj Close,Volume
2013-04-04,48.366665,48.691666,46.708332,47.141666,27.279291,2183076
2013-04-05,47.333332,48.416664,47.133331,48.066666,27.814558,4007208
2013-04-08,48.416664,48.666664,47.900002,48.375000,27.992975,1932420
2013-04-09,47.891666,49.041664,47.566666,47.825001,27.674711,2135904
2013-04-10,47.500000,48.291664,47.500000,47.924999,27.732582,1716324
2013-04-11,48.008331,48.441666,47.808334,48.133331,27.853134,1266048
2013-04-12,47.666664,48.750000,47.641666,48.450001,28.036377,1835784
2013-04-15,49.116665,50.791664,48.883331,50.283333,29.097273,5311446
2013-04-16,50.666664,51.474998,50.099998,50.508331,29.227472,4465500
2013-04-17,50.500000,51.116665,49.491665,50.224998,29.063509,2978070
2013-04-18,50.508331,51.283333,50.341667,50.500000,29.222649,2568054
2013-04-22,50.000000,51.333332,50.000000,50.625000,29.294975,1468590
2013-04-23,50.783333,51.500000,50.000000,51.224998,29.642178,2075856
2013-04-25,50.833332,51.299999,50.474998,50.633331,29.299801,2518248
2013-04-26,50.633331,50.941666,50.000000,50.183334,29.039406,1449222
2013-04-29,49.883331,50.700001,49.883331,50.316666,29.116552,1640514
2013-04-30,50.025002,50.650002,48.583332,49.900002,28.875443,3995016
2013-05-02,50.333332,51.000000,49.924999,50.474998,29.208179,2879568
2013-05-03,50.166664,50.275002,48.583332,48.724998,28.195511,2066442
2013-05-06,48.883331,49.349998,48.333332,49.091667,28.407694,1334832
2013-05-07,48.950001,49.458332,48.591667,48.991665,28.349823,1721946
2013-05-08,48.991665,49.141666,48.108334,48.633331,28.142467,2852898
2013-05-09,48.450001,49.266666,48.191666,49.099998,28.412512,2812752
2013-05-10,49.500000,51.166664,49.291664,50.933334,29.473394,6662544
2013-05-13,51.174999,51.641666,49.833332,49.958332,28.909201,2028852
2013-05-14,50.166664,51.091667,50.041664,50.549999,29.251572,2557410
2013-05-15,50.633331,51.833332,50.541664,51.691666,29.912218,5360676
2013-05-16,51.008331,53.433334,51.008331,51.908333,30.037601,4996110
2013-05-17,51.516666,52.316666,51.424999,51.891666,30.027956,1799604
2013-05-20,51.333332,52.000000,50.424999,50.525002,29.237110,2457612
2013-05-21,50.333332,51.166664,50.166664,50.799999,29.396248,1534860
2013-05-22,50.833332,50.966667,48.349998,48.841667,28.263025,7584774
2013-05-23,48.183334,49.333332,47.633331,47.766666,27.640955,5048382
2013-05-24,47.500000,48.608334,47.500000,48.208332,27.896540,2502984
2013-05-27,48.450001,48.916664,47.833332,48.183334,27.882067,1212786
2013-05-28,47.866665,48.974998,47.866665,48.891666,28.291958,1129530
2013-05-29,48.866665,49.091667,48.416664,48.666664,28.161755,1982628
2013-05-30,48.916664,49.983334,48.666664,49.083332,28.402868,5298150
2013-05-31,49.658333,49.766666,47.500000,47.641666,27.568621,4879464
2013-06-03,48.016666,48.450001,47.258331,47.391666,27.423960,2259276
2013-06-04,47.283333,47.833332,47.174999,47.291664,27.366085,1333686
2013-06-05,47.491665,47.658333,46.916664,47.000000,27.197311,1662546
2013-06-06,46.508331,46.991665,46.008331,46.091667,26.671692,5058720
2013-06-07,45.833332,46.150002,44.750000,45.008331,26.044800,3632934
2013-06-10,44.866665,45.000000,44.208332,44.408333,25.697601,2409726
2013-06-11,44.325001,44.325001,42.766666,43.408333,25.118942,3063666
2013-06-12,43.500000,44.058334,43.166664,43.358334,25.090004,1852446
2013-06-13,43.333332,43.483334,41.333332,41.783333,24.178604,2582574
2013-06-14,41.841667,42.616665,41.799999,41.974998,24.289511,3083664
2013-06-17,42.500000,42.500000,41.666664,42.166664,24.400425,3907134
2013-06-18,41.924999,42.224998,41.250000,41.383331,23.947142,2692260
2013-06-19,41.166664,41.174999,40.000000,40.108334,23.209339,4768302
2013-06-20,39.700001,40.549999,38.841667,40.108334,23.209339,6558096
2013-06-21,40.150002,40.533333,38.866665,39.150002,22.654787,4942242
2013-06-24,39.166664,39.483334,36.416664,36.508331,21.126143,5641428
2013-06-25,36.466667,37.750000,36.466667,37.099998,21.468517,2944716
2013-06-26,37.208332,37.616665,36.691666,36.966667,21.391363,1045902
2013-06-27,36.891666,37.625000,36.666664,37.241665,21.550495,2331546
2013-06-28,37.608334,39.316666,37.608334,39.125000,22.640314,2702238
2013-07-01,39.633331,39.633331,38.666664,39.433334,22.818737,1864584
2013-07-02,39.833332,40.250000,39.191666,39.433334,22.818737,2364318
2013-07-03,38.500000,38.799999,37.349998,37.616665,21.767490,2198016
2013-07-04,37.500000,37.933334,37.091667,37.400002,21.642117,1883454
2013-07-05,37.583332,37.950001,37.416664,37.541664,21.724094,882036
2013-07-08,37.291664,37.291664,36.083332,36.166664,20.928427,4276608
2013-07-09,36.666664,36.750000,36.166664,36.583332,21.169542,2848794
2013-07-10,36.825001,36.825001,36.416664,36.525002,21.135786,1723248
2013-07-11,36.599998,37.250000,36.599998,37.041664,21.434763,1256274
2013-07-12,37.000000,37.450001,37.000000,37.283333,21.574604,1071288
2013-07-15,37.500000,38.150002,37.366665,37.891666,21.926630,2270898
2013-07-16,37.583332,38.566666,37.491665,38.241665,22.129164,1785174
2013-07-17,37.908333,38.433334,37.333332,37.525002,21.714453,3084780
2013-07-18,37.500000,38.283333,37.416664,38.125000,22.061646,1048590
2013-07-19,38.000000,38.333332,37.000000,37.558334,21.733744,1357044
2013-07-22,37.558334,37.666664,37.016666,37.458332,21.675871,907878
2013-07-23,37.733334,38.083332,37.383331,37.616665,21.767490,2632716
2013-07-24,38.000000,38.000000,37.049999,37.200001,21.526381,2027934
2013-07-25,36.716667,37.166664,36.333332,36.708332,21.241875,11595438
2013-07-26,36.666664,37.416664,36.666664,37.224998,21.540855,875394
2013-07-29,37.500000,37.583332,35.333332,35.500000,20.542648,1206324
2013-07-30,35.491665,35.491665,32.341667,32.575001,18.850054,4060260
2013-07-31,32.166664,34.666664,31.000000,34.150002,19.761452,7303554
2013-08-01,35.000000,35.000000,31.691666,32.591667,18.859697,4019826
2013-08-02,31.799999,32.566666,31.250000,32.174999,18.618586,4792272
2013-08-05,31.958332,32.658333,31.325001,32.391666,18.743965,1999518
2013-08-06,31.758333,33.058334,31.666666,32.150002,18.604118,3810720
2013-08-07,32.000000,32.891666,31.875000,32.575001,18.850054,2081160
2013-08-08,32.599998,32.750000,32.041664,32.583332,18.854874,948294
2013-08-12,32.833332,33.833332,32.474998,33.375000,19.312984,1638822
2013-08-13,33.333332,33.808334,32.516666,33.466667,19.366032,2313882
2013-08-14,33.500000,36.250000,33.474998,35.808334,20.721073,4484106
2013-08-16,35.424999,35.916664,34.666664,35.075001,20.296721,3817878
2013-08-19,34.666664,35.641666,33.991665,34.674999,20.065252,2080452
2013-08-20,34.349998,35.583332,33.666664,35.049999,20.282251,2734644
2013-08-21,35.816666,36.166664,34.583332,35.191666,20.364227,3396708
2013-08-22,34.500000,35.133331,33.683334,34.950001,20.836199,2293950
2013-08-23,34.950001,35.825001,34.674999,35.541664,21.188929,2113650
2013-08-26,35.633331,36.283333,34.858334,35.783333,21.333010,2962254
2013-08-27,35.833332,35.833332,34.500000,34.683334,20.677219,1884588
2013-08-28,33.066666,35.799999,32.566666,34.625000,20.642441,3567996
2013-08-29,35.483334,35.666664,34.750000,34.950001,20.836199,4946070
2013-08-30,34.950001,35.466667,34.691666,34.900002,20.806391,5709852
2013-09-02,35.424999,35.616665,34.575001,35.049999,20.895821,2272446
2013-09-03,35.500000,35.500000,34.341667,34.474998,20.553019,2734116
2013-09-04,34.349998,35.233334,34.049999,35.125000,20.940525,1770168
2013-09-05,35.416664,37.549999,35.216667,37.066666,22.098095,2627460
2013-09-06,37.500000,39.241665,36.691666,38.674999,23.056940,5287344
2013-09-10,39.166664,39.166664,37.000000,37.250000,22.207394,2890314
2013-09-11,37.166664,38.616665,37.166664,38.208332,22.778725,6728010
2013-09-12,38.349998,38.750000,37.608334,38.091667,22.709171,3463980
2013-09-13,37.708332,39.116665,37.549999,38.825001,23.146364,3831504
2013-09-16,38.849998,39.416664,37.991665,38.641666,23.037067,9179868
2013-09-17,38.258331,39.083332,38.258331,38.883331,23.181139,4863402
2013-09-18,38.666664,39.083332,38.258331,38.366665,22.873116,1396020
2013-09-19,38.750000,39.733334,38.666664,39.008331,23.255663,4638516
2013-09-20,39.000000,39.299999,36.500000,37.283333,22.227264,10060152
2013-09-23,37.000000,37.883331,35.941666,36.866665,21.978855,4461600
2013-09-24,36.491665,37.058334,36.325001,36.591667,21.814913,1142532
2013-09-25,36.491665,36.833332,35.666664,35.991665,21.457209,2279256
2013-09-26,35.483334,35.858334,34.283333,34.491665,20.562954,4056972
2013-09-27,34.508331,36.224998,34.508331,35.208332,20.990208,4204896
2013-09-30,34.775002,35.500000,34.383331,34.641666,20.652378,3623472
2013-10-01,34.333332,34.866665,33.333332,34.108334,20.334419,3739308
2013-10-03,34.599998,34.916664,33.933334,34.625000,20.642441,2769822
2013-10-04,34.533333,35.666664,34.508331,35.258331,21.020016,2835978
2013-10-07,35.000000,35.500000,34.508331,35.408333,21.109444,1832832
2013-10-08,35.408333,35.691666,34.866665,35.075001,20.910719,1841094
2013-10-09,34.708332,34.958332,34.525002,34.625000,20.642441,2191554
2013-10-10,34.625000,35.166664,34.433334,34.674999,20.672251,2147862
2013-10-11,35.166664,35.166664,34.200001,34.325001,20.463593,1638084
2013-10-14,34.166664,34.333332,33.583332,33.733334,20.110859,1635996
2013-10-15,33.833332,34.166664,33.133331,33.441666,19.936972,3194526
2013-10-17,33.500000,33.983334,32.724998,33.008331,19.678629,3706098
2013-10-18,33.666664,33.666664,33.166664,33.308334,19.857483,4335396
2013-10-21,33.333332,33.683334,33.058334,33.183334,19.782967,2633682
2013-10-22,33.500000,34.133331,33.250000,33.875000,20.195314,3751086
2013-10-23,34.200001,34.333332,33.516666,33.708332,20.095947,2471916
2013-10-24,33.724998,34.133331,33.083332,33.200001,19.792898,4016532
2013-10-25,33.200001,33.500000,33.158333,33.200001,19.792898,2429688
2013-10-28,33.500000,33.500000,33.250000,33.325001,19.867422,1709106
2013-10-29,33.325001,33.816666,33.000000,33.116665,19.743217,4365270
2013-10-30,33.341667,33.616665,33.183334,33.366665,19.892260,2028624
2013-10-31,33.816666,33.875000,33.491665,33.674999,20.076077,5392410
2013-11-01,33.799999,34.575001,33.683334,34.316666,20.458622,3720024
2013-11-05,35.299999,36.349998,34.866665,36.008331,21.467144,7375986
2013-11-06,36.233334,36.900002,35.875000,36.025002,21.477079,5041878
2013-11-07,36.166664,36.383331,34.533333,35.016666,20.875946,2704146
2013-11-08,34.825001,36.166664,34.724998,35.549999,21.193901,4679136
2013-11-11,34.708332,34.941666,33.741665,33.849998,20.180405,2687040
2013-11-12,34.000000,34.150002,32.950001,33.158333,19.768053,2590380
2013-11-13,33.075001,33.200001,32.674999,32.933334,19.633919,1845060
2013-11-14,33.166664,33.700001,32.950001,33.016666,19.683599,1387584
2013-11-18,33.549999,33.900002,33.233334,33.841667,20.175442,1734396
2013-11-19,33.791664,34.275002,33.783333,34.133331,20.349325,1822554
2013-11-20,33.916664,34.575001,33.366665,33.549999,20.001554,1901046
2013-11-21,33.500000,33.983334,33.033333,33.133331,19.753153,1704870
2013-11-22,33.200001,33.616665,33.200001,33.433334,19.932007,1287738
2013-11-25,34.108334,34.583332,34.025002,34.308334,20.453651,3373764
2013-11-26,34.349998,34.633331,33.366665,33.500000,19.971746,1194726
2013-11-27,33.500000,33.666664,33.049999,33.275002,19.837614,2722506
2013-11-28,33.041664,33.616665,33.041664,33.349998,19.882322,2810922
2013-11-29,33.375000,33.783333,33.258331,33.508331,19.976715,4136130
2013-12-02,33.983334,34.000000,33.674999,33.924999,20.225124,1458936
2013-12-03,33.666664,33.916664,33.500000,33.708332,20.095947,1022190
2013-12-04,33.666664,34.216667,33.458332,33.724998,20.105888,1713240
2013-12-05,33.841667,34.416664,33.841667,34.224998,20.403969,2490492
2013-12-06,34.000000,34.833332,33.500000,34.208332,20.394039,3235152
2013-12-09,35.000000,35.166664,34.391666,34.775002,20.731869,2695188
2013-12-10,34.775002,35.000000,33.916664,34.058334,20.304613,2154528
2013-12-11,34.066666,34.733334,33.849998,34.341667,20.473530,2765040
2013-12-12,34.016666,34.224998,33.691666,33.766666,20.130726,1329270
2013-12-13,33.674999,34.091667,33.083332,33.208332,19.797863,3192420
2013-12-16,33.450001,33.450001,32.849998,32.950001,19.643854,1593030
2013-12-17,33.166664,33.316666,32.766666,32.833332,19.574301,1123728
2013-12-18,32.674999,33.983334,32.674999,33.766666,20.130726,1816752
2013-12-19,33.833332,33.924999,33.016666,33.325001,19.867422,2223120
2013-12-20,33.091667,34.166664,33.091667,34.041664,20.294672,2953968
2013-12-23,33.991665,34.983334,33.875000,34.674999,20.672251,4593882
2013-12-24,35.016666,35.400002,34.500000,35.283333,21.034924,3169074
2013-12-26,35.500000,36.133331,35.416664,35.541664,21.188929,5643528
2013-12-27,35.816666,35.816666,35.325001,35.508331,21.169060,1715562
2013-12-30,35.833332,35.833332,35.141666,35.316666,21.054790,966474
2013-12-31,35.250000,35.958332,35.166664,35.691666,21.278362,3111960
2014-01-01,35.433334,35.799999,34.583332,34.758331,20.721930,2604786
2014-01-02,35.150002,35.366665,34.183334,34.299999,20.448685,5551860
2014-01-03,34.299999,34.541664,33.766666,33.908333,20.215183,1827990
2014-01-06,34.250000,34.416664,33.833332,34.091667,20.324480,6030786
2014-01-07,34.000000,34.166664,33.016666,33.291664,19.847542,5534862
2014-01-08,33.291664,33.724998,32.500000,32.583332,19.425259,7440162
2014-01-09,32.783333,33.458332,32.291664,33.141666,19.758120,6144306
2014-01-10,33.400002,33.933334,33.258331,33.450001,19.941942,5247618
2014-01-13,33.650002,34.816666,33.599998,34.558334,20.602697,4671552
2014-01-14,34.250000,34.733334,33.974998,34.349998,20.478495,2498802
2014-01-15,34.191666,35.000000,34.191666,34.924999,20.821295,2341398
2014-01-16,35.008331,35.500000,34.891666,35.375000,21.089569,2913684
2014-01-17,35.666664,37.983334,35.666664,37.516666,22.366373,19789944
2014-01-20,37.333332,37.691666,36.700001,37.458332,22.331593,5306280
2014-01-21,37.500000,37.983334,37.133331,37.516666,22.366373,2264532
2014-01-22,37.750000,38.316666,37.583332,38.125000,22.729038,2287032
2014-01-23,38.091667,38.433334,37.775002,37.991665,22.649553,2787498
2014-01-24,37.833332,38.183334,37.516666,37.974998,22.639614,2006328
2014-01-27,37.500000,37.866665,36.916664,37.266666,22.217329,2477346
2014-01-28,37.333332,37.583332,36.841667,37.283333,22.227264,1880166
2014-01-29,37.333332,39.916664,37.266666,39.266666,23.409668,7719606
2014-01-30,39.000000,39.808334,38.583332,39.483334,23.538843,7578474
2014-01-31,39.950001,41.166664,38.950001,40.891666,24.378450,5048316
2014-02-03,40.833332,41.483334,39.983334,40.849998,24.353615,2877642
2014-02-04,40.941666,40.941666,40.183334,40.466667,24.125076,1966098
2014-02-05,40.250000,40.666664,39.299999,39.683334,23.658081,2201844
2014-02-06,39.983334,41.333332,39.333332,41.066666,24.482782,4412208
2014-02-07,41.333332,41.608334,40.674999,41.008331,24.448006,2322846
2014-02-10,41.000000,41.791664,40.583332,41.591667,24.795773,1996470
2014-02-11,41.825001,43.241665,41.208332,43.066666,25.675121,5409324
2014-02-12,43.333332,43.341667,41.866665,42.841667,25.540985,4478190
2014-02-13,43.275002,43.275002,40.433334,40.750000,24.293995,1901106
2014-02-14,40.016666,40.666664,39.733334,40.016666,23.856804,3429720
2014-02-17,40.166664,40.616665,39.666664,40.141666,23.931320,2449296
2014-02-18,40.166664,40.875000,39.450001,39.716667,23.677946,2201694
2014-02-19,39.666664,40.333332,38.866665,40.166664,23.946226,2765022
2014-02-20,39.991665,40.525002,39.408333,39.633331,23.628269,1715574
2014-02-21,39.666664,40.783333,39.525002,40.508331,24.149916,4418154
2014-02-24,40.516666,41.741665,40.483334,40.674999,24.249279,3304272
2014-02-25,40.666664,41.491665,40.666664,41.241665,24.587107,2568438
2014-02-26,41.250000,42.183334,40.208332,41.333332,24.641760,4203096
2014-02-28,41.216667,42.166664,40.833332,41.391666,24.676537,4509438
2014-03-03,41.358334,42.133331,40.799999,41.775002,24.905066,2729202
2014-03-04,41.666664,42.491665,41.174999,42.174999,25.143538,4385682
2014-03-05,42.216667,42.933334,42.166664,42.533333,25.357162,1611588
2014-03-06,42.833332,44.358334,41.316666,44.075001,26.276264,13624944
2014-03-07,44.166664,45.133331,43.349998,44.541664,26.554474,5067636
2014-03-10,44.500000,45.575001,44.333332,44.791664,26.703518,5013198
2014-03-11,45.000000,45.833332,44.833332,44.983334,26.817789,4515480
2014-03-12,44.841667,44.841667,43.500000,44.133331,26.311039,1730334
2014-03-13,44.000000,48.250000,43.333332,46.000000,27.423893,12043140
2014-03-14,46.000000,47.000000,44.224998,44.833332,26.728361,6177354
2014-03-18,45.083332,45.833332,44.474998,44.716667,26.658808,3339120
